bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,202,2656,aiw,aari1239,{},5.95034,language,36.5721,,Aari,'Aari [aari1239][aiw]-l-':1,4424,safe
True,0,0,0,,120,120,aay,aari1240,{},,language,,,Aariya,'Aariya [aari1240][aay]-l-':1,1134,safe
False,0,0,0,,376,4943,aas,aasa1238,{},-4.00679,language,36.8648,,Aasax,'Aasax [aasa1238][aas]-l-':1,7144,extinct
False,0,0,0,,21,19351,kbt,abad1241,{},-9.03389,language,146.992,,Abadi,'Abadi [abad1241][kbt]-l-':1,20702,safe
False,0,0,0,,50,10771,abg,abag1245,{},-6.12028,language,145.665,,Abaga,'Abaga [abag1245][abg]-l-':1,13588,critically endangered
False,0,0,0,,21,10593,abf,abai1240,{},5.55394,language,118.306,,Abai Sungai,'Abai Sungai [abai1240][abf]-l-':1,13413,definitely endangered
False,0,0,0,,21,10589,NOCODE_Abai-Tubu-Sembuak,abai1241,{},,language,,,Abai Tubu-Abai Sembuak,'Abai Tubu-Abai Sembuak [abai1241]-l-':1,13401,safe
False,0,0,0,,10,17246,abm,aban1242,{},6.30619,language,8.63055,,Abanyom,'Abanyom [aban1242][abm]-l-':1,18795,safe
False,0,0,0,,10,5196,mij,abar1238,{},6.5805,language,10.2267,,Mungbam,'Mungbam [abar1238][mij]-l-':1,7603,safe
False,0,0,0,,142,142,aau,abau1245,{},-3.97222,language,141.324,,Abau,'Abau [abau1245][aau]-l-':1,1214,safe
False,3,0,0,,351,1603,abq,abaz1241,{},41.1214,language,42.7273,,Abaza,"('Ashkaraua [ashk1247]':1,'Bezshagh [bezs1238]':1,'Tapanta [tapa1256]':1)'Abaza [abaz1241][abq]-l-':1",3003,definitely endangered
False,4,0,0,,10,5211,aba,abee1242,{},5.59682,language,-4.38497,,Abé,"('Abbey-Ve [abbe1238]':1,'Kos [koss1238]':1,'Morie [mori1266]':1,'Tioffo [tiof1238]':1)'Abé [abee1242][aba]-l-':1",7635,safe
False,0,0,0,,21,7802,abp,aben1249,{},15.4131,language,120.2,,Abenlen Ayta,'Abenlen Ayta [aben1249][abp]-l-':1,10439,safe
False,2,0,0,,10,5211,abi,abid1235,{},5.65656,language,-4.58421,,Abidji,"('Enyembe [enye1238]':1,'Ogbru [ogbr1242]':1)'Abidji [abid1235][abi]-l-':1",7634,safe
